"filename", "language", "JSON", "XML", "C++", "Markdown", "Shell Script", "Python", "C", "Objective-C++", "JavaScript", "HTML", "Makefile", "Objective-C", "Go", "NASM Assembly", "CSS", "GLSL", "SkSL", "TOML", "SCSS", "Docker", "TypeScript", "JSON with Comments", "PowerShell", "Properties", "CMake", "Groovy", "SQL", "Java", "YAML", "DTD", "comment", "blank", "total"
"d:\VUILib\third\SkiaM101Binary\bench\GameBench.cpp", "C++", 0, 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 62, 390
"d:\VUILib\third\SkiaM101Binary\bench\GeometryBench.cpp", "C++", 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 43, 296
"d:\VUILib\third\SkiaM101Binary\bench\GlyphQuadFillBench.cpp", "C++", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 84
"d:\VUILib\third\SkiaM101Binary\bench\GrMemoryPoolBench.cpp", "C++", 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 33, 221
"d:\VUILib\third\SkiaM101Binary\bench\GrMipmapBench.cpp", "C++", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 81
"d:\VUILib\third\SkiaM101Binary\bench\GrQuadBench.cpp", "C++", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 75
"d:\VUILib\third\SkiaM101Binary\bench\GrResourceCacheBench.cpp", "C++", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27, 185
"d:\VUILib\third\SkiaM101Binary\bench\GradientBench.cpp", "C++", 0, 0, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 51, 356
"d:\VUILib\third\SkiaM101Binary\bench\HairlinePathBench.cpp", "C++", 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 28, 241
"d:\VUILib\third\SkiaM101Binary\bench\HardStopGradientBench_ScaleNumColors.cpp", "C++", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 20, 129
"d:\VUILib\third\SkiaM101Binary\bench\HardStopGradientBench_ScaleNumHardStops.cpp", "C++", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 21, 116
"d:\VUILib\third\SkiaM101Binary\bench\HardStopGradientBench_SpecialHardStops.cpp", "C++", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 132
